System,River,Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sst_aprjul,sst_anom,sss_mayaug,total_spawners_y_minus_2_to_4,mean_temp_JunAug,mean_temp_MaySep,max_temp_JunAug,mean_discharge_MarMay,max_discharge_AprSep
Bristol Bay,Alagnak,1963,378138.280997038,0.0,0.0,0.0,0.0,0.0,0.0,331299.990064692,13119.730112112,0.0,0.0,5.94688772462506e-10,20219.1620337071,13499.3987865245,0.0,0.0,8.98101120497911e-10,8.97383959825892e-10,0.0,759383.050311972,2.32,1007.466,26.00333333333333,,-0.2092234233333333,-1.25475,-0.06,-0.58,,,31.64945122733045,,,,,,
Bristol Bay,Alagnak,1964,759383.050311972,0.0,0.0001397443425372,0.0,0.0,0.0,4468.51853051731,121361.342761154,338122.232404937,0.0,0.0,8.07157218338651e-06,286853.65940287,8577.2970628815,0.0,0.0,2.31742454758138e-07,1.56490725357031e-06,0.0,397860.608256364,0.74,1009.076,27.33,,0.6354695033333334,-0.4815,0.0725,-1.456,,,31.80659727552044,,,,,,
Bristol Bay,Alagnak,1965,397860.608256364,0.0,0.0,727.073816454792,0.0,0.0,11965.3139715437,50293.2450260829,116448.344108643,6.472749308848111e-09,0.0,6.472763733368961e-09,166914.93864006,50738.8937718332,0.0,0.0,772.798921727466,6.472748217699021e-09,0.0,394077.159015449,-1.62,1009.884,25.78,,-0.7087546033333333,-1.07025,-0.5875,-0.202,,,31.792252405365904,,,,,,
Bristol Bay,Alagnak,1966,394077.159015449,0.0,0.0,1.83263578030635e-09,0.0,0.0,0.0,110266.243567286,232930.743783171,1.8338446166899301e-09,0.0,0.0,6138.95631741,43428.8941591372,1.8338446166899301e-09,0.0,1.8339313175012102e-09,1312.32118843721,0.0,344305.585577397,-1.88,1011.274,27.813333333333333,,-0.8769983533333334,-1.3545,-0.4625,-0.258,,,31.76825843640228,,,,,,
Bristol Bay,Alagnak,1967,344305.585577397,0.0,0.0,1.07349935010011e-09,0.0,0.0,6377.29762212629,231001.909353708,104885.029508684,1.07023568731815e-09,0.0,415.023382200934,1626.32571067297,1.07349935010011e-09,0.0,0.0,1.0750117076603e-09,1.07349935010011e-09,0.0,314033.557374858,-0.17,1010.958,26.07333333333333,,-0.6303692166666667,0.2925,-0.375,-1.22,,,31.952062863022533,627024.0,,,,,
Bristol Bay,Alagnak,1968,314033.557374858,0.0,0.0,8.089737832152901e-10,0.0,0.0,8480.04184744772,97650.4215483889,151684.161192015,8.08803322833379e-10,0.0,1880.28152504957,30953.023329648,22573.0166335278,8.08803322833379e-10,0.0,812.611298777955,8.089737832152901e-10,0.0,324288.955169264,-0.4,1009.018,25.863333333333333,,-0.5417895966666667,-0.2922499999999999,-0.36,0.0079999999999999,,,31.57690820409291,598056.0,,,,,
Bristol Bay,Alagnak,1969,324288.955169264,0.0,2.1568794832249603e-09,0.0,0.0,0.0,9662.46648980595,110322.958582639,90731.091836029,2.1571068725590802e-09,0.0,509.92968359188,112243.297590412,819.210986777643,0.0,0.0,2.1568794832249603e-09,2.15680963519131e-09,0.0,500779.511421109,-2.72,1010.83,27.53,,-1.3884037466666663,-2.1115,-0.8574999999999999,-0.516,,,31.719780758245665,551982.0,,,,,
Bristol Bay,Alagnak,1970,500779.511421109,0.0,0.0,4.553159291704951e-09,0.0,0.0,5829.7840867585,304544.093668233,88347.8488845848,0.0,0.0,0.0,29040.2718764478,73017.5129050708,0.0,0.0,4.5545952019129405e-09,4.553159291704951e-09,0.0,537293.524453276,3.69,1005.734,26.96333333333333,,0.2047551033333333,-1.91925,1.1,-1.08,,,31.6310978718658,570834.0,,,,,
Bristol Bay,Alagnak,1971,537293.524453276,0.0,410.639439228765,461.169500360227,1.6585627530433902e-09,0.0,8143.46251247989,260360.126735236,229247.6170294,5497.06030308381,0.0,2325.1893646584,13317.4626320725,17530.7969367517,0.0,0.0,1.6584155287880502e-09,1.6584391276187401e-09,0.0,302589.30717202,-2.25,1011.482,25.21333333333333,,-0.0711822576666666,-0.64375,-1.3125,-1.27,,,31.681839409159192,578988.0,,,,,
Bristol Bay,Alagnak,1972,302589.30717202,0.0,0.0,6.491050910375151e-10,1.2957224256456202e-09,0.0,7.0852196840766e-09,182414.447683053,52163.0660470705,9.71791819301795e-10,0.0,0.0,59199.567021546,8812.22642033874,9.71791819301795e-10,0.0,6.49787373867388e-10,6.491050910375151e-10,0.0,63552.9693707139,-4.51,1011.836,25.88,,-0.322304651,0.1634999999999999,-1.8425,-1.158,,,31.629547168959437,553422.0,,,,,
Bristol Bay,Alagnak,1973,63552.9693707139,0.0,0.0,5.57891903016334e-10,0.0,0.0,4.46384640164427e-10,1353.56258474515,52504.168379925,3.34789470951019e-10,0.0,0.0,685.373335848824,9009.8650701927,0.0,0.0,4.46309930385454e-10,4.46313522383945e-10,0.0,247579.730446879,-1.62,1009.514,28.27,,-0.4380004316666667,0.94825,-0.4875,-1.408,,,31.752411885048023,546852.0,,,,,
Bristol Bay,Alagnak,1974,247579.730446879,0.0,0.0,0.0,0.0,0.0,1232.55460274746,78027.4800440757,54756.5338009252,2129.56933443022,0.0,9.26187812321765e-10,108529.167421717,2904.42524298189,0.0,0.0,9.262884038438211e-10,0.0,0.0,112656.701619766,1.04,1009.06,24.72,,-0.3501739266666667,-0.296,-1.085,-0.126,,,31.8275206551623,515550.0,,,,,
Bristol Bay,Alagnak,1975,112656.701619766,0.0,0.0,0.0,0.0,0.0,1462.13105593817,28837.9158028944,58491.2016343907,0.0,0.0,0.0,8320.09275050936,15545.3603760262,2.4791339150832603e-09,0.0,2.4791548163652704e-09,2.47916549875804e-09,0.0,157449.670683924,-1.84,1010.026,25.95,,0.7798425266666666,0.624,-0.595,-1.538,,,31.967273043162788,373770.0,,,,,
Bristol Bay,Alagnak,1976,157449.670683924,0.0,1.0279032473947202e-09,1.02731764771877e-09,0.0,0.0,0.0,70319.7172587099,56203.8034880226,0.0,0.0,1.0263018204556e-09,30123.1698122469,802.980124938575,1.02686710825617e-09,0.0,1.0279032473947202e-09,1.02731764771877e-09,0.0,234915.33416411,-1.12,1010.094,25.05,,1.1134298666666669,0.8917499999999999,-1.2225,-0.132,,,31.673317617444848,401316.0,,,,,
Bristol Bay,Alagnak,1977,234915.33416411,0.0,6.41137435373797e-09,6.869425243487451e-09,0.0,0.0,0.0,2.10659443090841e-08,27572.1609527256,0.0,0.0,0.0,2.97670952157567e-08,207343.173211308,0.0,0.0,6.41137435373797e-09,6.411463560956291e-09,0.0,1110702.15448368,3.03,1005.954,27.25333333333333,,1.5284769666666669,-1.87675,1.1425,-0.246,,,31.35712027193895,350608.0,,,,,
Bristol Bay,Alagnak,1978,1110702.15448368,0.0,0.0,1910.67000745713,3098.54886380714,0.0,0.0,722581.359778921,6686.6405200102,1.49688610441306e-08,0.0,6.38785807830887e-08,350599.519763644,2.13645956369201e-07,1.01039812050492e-07,0.0,24813.5473463369,1011.86820311078,0.0,1620186.93918502,2.32,1006.492,27.15,,1.1045353533333333,-0.7747499999999999,0.6074999999999999,-0.442,,,31.65110269945059,397150.0,,,,,
Bristol Bay,Alagnak,1979,1620186.93918502,0.0,2.46825439341932e-08,0.0,0.0,0.0,3.79470672674585e-08,8.16422606991052e-08,2.8488228459525e-08,1377.89295868572,0.0,3.22550071716767e-08,1551297.18495049,3.79843046161305e-08,0.0,0.0,67511.8612755955,7.59686092322609e-09,0.0,855660.862369649,-0.99,1010.552,26.56,0.185,-0.62114414,-1.181,-0.7150000000000001,0.4039999999999999,,,31.791077236631025,291212.5,,,,,
Bristol Bay,Alagnak,1980,855660.862369649,0.0,0.01001323529726,77257.4712808192,0.0,0.0,163393.681931834,0.0130203502526552,467274.994785132,1866.97784643386,0.0,1.46139377608859,0.0242000187400006,0.212863893700389,0.0,62200.6104823183,0.139271382524344,83665.2652804554,0.0,667234.69757733,1.67,1007.686,27.08333333333333,0.355,-1.3888758966666668,-0.7845,0.3299999999999999,-0.0679999999999999,,,31.5642614364624,775702.5,,,,,
Bristol Bay,Alagnak,1981,667234.69757733,0.0,0.0,3286.81206641765,0.0,0.0,0.0,2.87778014771251e-07,157897.417413923,0.0,0.0,0.0,1.89349592362714e-06,492798.395639225,0.0,0.0,8.341391733827e-09,13252.0724555749,0.0,1345575.81985953,5.09,1004.438,26.37333333333333,-0.255,-0.53494929,-0.5375,0.985,0.862,,,31.60312337306008,1444090.5,,,,,
Bristol Bay,Alagnak,1982,1345575.81985953,0.0,0.0,8.486417658112341e-09,0.0,0.0,0.0,561752.380683031,689174.639419491,2.20647459856215e-08,0.0,0.0,2.63081103636135e-08,94648.7997569247,2.29133900654207e-08,0.0,0.0,0.0,0.0,2664575.17756896,-3.21,1010.602,26.64,0.8983333333333333,-0.1840691733333333,-0.0127499999999999,0.0349999999999999,-0.33,,,31.6152804075782,2094825.0,,,,,
Bristol Bay,Alagnak,1983,2664575.17756896,0.0,0.0,1044.81687113527,0.0,0.0,0.0,947783.062132826,1026219.17470876,3.5584400418184e-08,0.0,16623.3375478586,512955.087149749,145046.234689796,14903.464468783,0.0,6.672075462966141e-09,6.6720748779757e-09,0.0,1193249.44342189,6.69,1003.46,28.766666666666666,1.2616666666666667,0.2813847666666667,-0.01175,0.815,1.406,,,31.75786072460573,1719490.5,,,,,
Bristol Bay,Alagnak,1984,1193249.44342189,0.0,0.0,4639.55552324307,6.425860241904291e-09,0.0,0.0,1.71255923882087e-08,81154.7648968063,15371.0608474303,0.0,5.1303709269791e-08,1047576.63469065,2.14151240254241e-08,0.0,0.0,42749.6853914668,1757.74207219621,0.0,843580.108726095,1.68,1006.28,26.013333333333332,-0.2866666666666667,-0.1640481899999999,-0.3995,1.4825,0.116,5.851268410682678,0.2445001555211616,31.800353505718174,1579495.5,,,,,
Bristol Bay,Alagnak,1985,843580.108726095,0.0,0.0,3.9922516109325e-09,0.0,0.0,9.26298562014215e-08,174414.656177659,368591.127036937,14173.2301858467,0.0,4.34331103477996e-07,269864.31356015,1.06792730594515e-06,16536.7817638935,0.0,6.01991608356505e-09,3.9922516109325e-09,0.0,1020938.70832225,-1.64,1010.006,25.64333333333333,-0.635,0.170517743,-0.81225,0.3725,0.002,4.103607922792435,-1.503160332369082,31.674259449119,1065211.5,,,,,
Bristol Bay,Alagnak,1986,1020938.70832225,0.0,0.0,6006.84824174571,0.0,0.0,6508.42670520188,3.30042794883352e-08,1008291.54835751,2.0224626220516e-08,0.0,0.0,1.59698126539881e-08,5.43051268172854e-08,131.885017661589,0.0,5.32327088431775e-09,0.0,0.0,780737.319080473,5.2,1004.794,26.156666666666663,0.315,-1.2994893666666667,-0.87225,1.13,0.46,4.293108284473419,-1.3136599706880974,31.78162238135267,1404769.5,,,,,
