Year,Pacea_ALPI_Anomaly,Pacea_NPI_Value,Pacea_NPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep
1947,-2.12,1010.67,1.77,1008.4766666666667,NA,NA,NA,NA,NA,NA
1948,-2.61,1011.34,2.44,1011.336,NA,NA,NA,NA,-0.3866666666666667,-0.802
1949,-1.6,1010.92,2.02,1010.918,NA,NA,NA,NA,-2.415,-1.454
1950,-1.93,1010.39,1.49,1010.392,24.945,NA,-1.8171132500000002,0.18633333333333332,-1.65,-2.948
1951,-1.83,1011.9,3,1011.902,25.573333333333334,NA,-0.46190761333333336,-1.0867499999999999,-1.3725,-1.166
1952,-2.87,1011.09,2.19,1011.096,26.866666666666667,NA,-1.2169328,-0.31275,-1.665,-1.8379999999999999
1953,2.2,1007.6,-1.3,1007.596,26.68,NA,0.84566811,-0.511,-0.68,-0.544
1954,-2.32,1009.81,0.91,1009.816,26.973333333333333,NA,1.2231421,0.1805,-0.8524999999999999,-0.34400000000000003
1955,-2.62,1011.21,2.31,1011.2139999999999,25.64666666666667,NA,0.16035243666666668,-0.93,-0.4975,-2.392
1956,-4.68,1012.3,3.4,1012.3000000000001,25.27,NA,-0.17856907,-0.80175,-2.4175,-1.272
1957,-1.6,1010.31,1.41,1010.31,26.18,NA,-1.33251185,-0.36575,-1.245,0.856
1958,2.12,1007.83,-1.07,1007.8240000000001,28.12,NA,-0.15113601666666665,-1.34,0.7125,1.1440000000000001
1959,-2.16,1010.3,1.4,1010.304,27,NA,-0.29102917,0.069,0.5974999999999999,-0.232
1960,-0.35,1009.26,0.36,1009.2620000000001,26.303333333333335,NA,0.7525811166666667,-1.59075,0.525,-0.028000000000000004
1961,2.92,1006.87,-2.03,1006.868,26.383333333333333,NA,1.1995759000000001,-0.22175,0.6125,-0.936
1962,-1.63,1010.68,1.78,1010.684,26.123333333333335,NA,0.14078521333333333,-0.8072499999999999,-1.165,-1.3940000000000001
1963,2.32,1007.47,-1.43,1007.466,26.003333333333334,NA,-0.20922342333333335,-1.25475,-0.06000000000000001,-0.58
1964,0.74,1009.08,0.18,1009.076,27.33,NA,0.6354695033333334,-0.4815,0.07250000000000001,-1.456
1965,-1.62,1009.89,0.99,1009.884,25.78,NA,-0.7087546033333333,-1.0702500000000001,-0.5875,-0.202
1966,-1.88,1011.27,2.37,1011.274,27.813333333333333,NA,-0.8769983533333334,-1.3545,-0.4625,-0.258
1967,-0.17,1010.96,2.06,1010.958,26.073333333333334,NA,-0.6303692166666667,0.2925,-0.375,-1.22
