Year,BristolBay_sss_aprjun,BristolBay_sss_mayaug,ColumbiaRiver_sss_aprjun,ColumbiaRiver_sss_mayaug,FraserRiver_sss_aprjun,FraserRiver_sss_mayaug
1942,31.860639391846917,31.754307348336745,31.687347705547626,31.663412937751183,31.67007622352013,31.659312981825607
1943,31.837886487666648,31.796364698837053,31.70261666713617,31.676593780517578,31.68830495002942,31.675130220559925
1944,31.90612567123489,31.851069863162824,31.852294579530376,31.877579725705658,31.86572060218224,31.91327010668241
1945,31.763726837006374,31.691025378099127,31.772794919136242,31.736630549797646,31.771314718784428,31.746068734389084
1946,31.81921652419057,31.800881286165605,31.726567048292893,31.697099869067856,31.71676894945976,31.699563906742977
1947,31.799442300749064,31.625213018104212,31.70752554673415,31.67184352874756,31.69768910530286,31.676309989048885
1948,31.662761469978594,31.65985918045044,31.590856111966644,31.489496084359978,31.511771862323467,31.37126687856821
1949,31.92502981157445,31.749872029717288,31.572841595380737,31.40682686292208,31.16518113551996,30.918187654935398
1950,31.799004255835687,31.769863085960274,29.396761527428264,29.3107312642611,28.57316985497108,28.430167858417217
1951,31.88649098790107,31.827552033894097,30.57118450066982,31.14599763430082,29.70490431174254,30.481418682978706
1952,31.946179736312942,31.901311468722216,31.149291405310993,30.996105194091797,31.424077938764523,31.259617365323578
1953,31.989290768827374,32.001054557401744,29.92608803969163,29.99015914476835,30.719431314712917,30.859379805051365
1954,31.905662650492655,31.93339201229722,29.52363151159042,29.767270785111645,31.016977016742413,30.93460072003878
1955,31.926979178812967,31.849823389480363,29.83686931316669,30.424955954918495,29.93171315315442,30.367782409374534
1956,31.937069660395533,31.898451079183552,31.262492008698292,31.444308941180893,31.18714386377579,31.277675738701454
1957,32.06673907759178,31.953104716628346,31.69791451478616,31.50755651180561,31.481605725410656,31.266079425811768
1958,31.91176952532868,31.853616379979833,31.252065267318333,31.24535105778621,31.239288281171753,31.183831434983475
1959,31.86700814280344,31.749907365485804,30.810820457262867,31.076037260202263,30.237132243621044,30.60436017696674
1960,31.956037654212455,31.918342967531572,31.44062291658842,31.380825519561768,30.916862830137593,30.78190172635592
1961,31.832231806285346,31.808446236510772,30.695787576528698,30.73508721131545,29.969260631463467,30.38761025208693
1962,31.784339914274454,31.743948943579372,31.134997881375828,31.55695918890146,30.944579735780376,31.282698924724876
1963,31.529919382351547,31.64945122733045,31.00308604118152,30.637769185579742,30.79986899938339,30.231534004211426
1964,31.919626568087295,31.80659727552044,31.30961085588504,31.251984632932224,31.169077359713043,31.16207632651696
1965,31.95980820726992,31.792252405365904,30.715473761925335,31.310435331784767,30.937383602827023,31.420388881976788
1966,31.776048176324192,31.76825843640228,30.924831243661732,31.161316541525036,30.788562089968952,31.03158947137686
