Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sst_aprjul,sst_anom,sss_mayaug,total_spawners_y_minus_2,total_spawners_y_minus_3,total_spawners_y_minus_4,total_spawners_y_minus_2_to_4,River_Alagnak,River_Egegik,River_Igushik,River_Kvichak,River_Naknek,River_Nushagak,River_Wood
1984,1193249.44342189,0.0,0.0,4639.55552324307,6.425860241904291e-09,0.0,0.0,1.71255923882087e-08,81154.7648968063,15371.0608474303,0.0,5.1303709269791e-08,1047576.63469065,2.14151240254241e-08,0.0,0.0,42749.6853914668,1757.74207219621,0.0,843580.108726095,1.68,1006.28,26.01333333333333,-0.2866666666666667,-0.1640481899999999,-0.3995,1.4825,0.116,5.851268410682678,0.2445001555211616,31.80035350571817,610215.0,209635.5,759645.0,1579495.5,1,0,0,0,0,0,0
1985,843580.108726095,0.0,0.0,3.9922516109325e-09,0.0,0.0,9.26298562014215e-08,174414.656177659,368591.127036937,14173.2301858467,0.0,4.34331103477996e-07,269864.31356015,1.06792730594515e-06,16536.7817638935,0.0,6.01991608356505e-09,3.9922516109325e-09,0.0,1020938.70832225,-1.64,1010.006,25.64333333333333,-0.635,0.170517743,-0.81225,0.3725,0.002,4.103607922792435,-1.503160332369082,31.674259449119,245361.0,610215.0,209635.5,1065211.5,1,0,0,0,0,0,0
1986,1020938.70832225,0.0,0.0,6006.84824174571,0.0,0.0,6508.42670520188,3.30042794883352e-08,1008291.54835751,2.0224626220516e-08,0.0,0.0,1.59698126539881e-08,5.43051268172854e-08,131.885017661589,0.0,5.32327088431775e-09,0.0,0.0,780737.319080473,5.2,1004.794,26.156666666666663,0.315,-1.2994893666666667,-0.87225,1.13,0.46,4.293108284473419,-1.3136599706880974,31.78162238135267,549193.5,245361.0,610215.0,1404769.5,1,0,0,0,0,0,0
1987,780737.319080473,1.96779032380369e-08,560.95682528005,12695.2072989357,3.9699684488804e-09,0.0,4.21669355077725e-08,3.11040645777601e-08,767481.154956002,9.263259713327061e-09,0.0,0.0,2.29899607776359e-08,1.13997439818948e-07,5.29329126553748e-09,0.0,6.7617531699844606e-09,0.0,0.0,851134.598568929,3.62,1005.968,27.80333333333333,1.7283333333333333,0.3326573833333333,-1.07675,1.4975,1.086,5.768152952194214,0.1613846970326973,31.528236524382635,300976.5,549193.5,245361.0,1095531.0,1,0,0,0,0,0,0
1988,851134.598568929,0.0,5.820924300502861e-09,6532.22667584921,4.60680458332264e-09,0.0,6814.9115635197,403722.288022385,434065.17230692,4.60680458332264e-09,0.0,1.18251687032876e-07,8.1492940204979e-08,2.43322425082375e-08,4.60680458332264e-09,0.0,5.820924300502861e-09,5.793391072357089e-09,0.0,1379369.76653295,1.21,1008.134,27.406666666666663,-1.16,0.8647857866666667,-0.383,0.5325,-0.286,5.871588349342346,0.2648200941808296,31.48124515476512,586959.0,300976.5,549193.5,1437129.0,1,0,0,0,0,0,0
1989,1379369.76653295,0.0,1.0148316343717e-08,39050.5991434939,1631.85443605151,0.0,1.97356117547953e-07,86570.4268066248,1250869.72502813,9.79191316691768e-09,9.16630787476008e-09,2.90229584732625e-08,4.31303444672068e-08,1247.1611182917,2.20318046294116e-08,2.32183667772561e-08,7.61123725830531e-09,7.58248689665636e-09,0.0,1591425.18648978,-2.68,1011.742,24.93,-0.8966666666666667,0.90987403,2.3985,-1.0175,-0.0859999999999999,5.350692093372345,-0.2560761617891716,31.32763057680272,393235.5,586959.0,300976.5,1281171.0,1,0,0,0,0,0,0
1990,1591425.18648978,0.0,2.54585852711053e-08,4.05342155850314e-08,0.0,0.0,1.33140910640605e-08,9.33481460050034e-08,792074.181830565,25116.4765357587,0.0,3.99422731880819e-08,1.1314926788431e-08,772146.242668685,7.820032864539211e-09,0.0,3.11160486710496e-08,2088.28545450842,0.0,1684654.87060508,-0.87,1010.906,26.686666666666667,0.1116666666666666,-0.0613260966666666,1.68725,-0.76,-0.314,5.563302576541901,-0.0434656786196159,31.69971599151839,496306.5,393235.5,586959.0,1476501.0,1,0,0,0,0,0,0
1991,1684654.87060508,0.0,1.45216125220437e-08,2.25345876880538e-08,2446.31050429707,0.0,0.0,2.69687089578247e-08,954824.079690286,1.64782411877803e-08,0.0,3.48685556190173e-08,1.34843544838847e-07,720017.363924799,4441.2484289395,0.0,8.29806429587195e-09,2925.86805650053,0.0,1461638.5858147,0.45,1011.244,27.036666666666665,0.5566666666666666,-0.86051957,0.1492499999999999,-1.5550000000000002,-1.136,5.56310647726059,-0.0436617779009269,31.505268965194475,501738.0,496306.5,393235.5,1391280.0,1,0,0,0,0,0,0
1992,1461638.5858147,0.0,7.1295606575580615e-09,7.092609020634021e-09,4.70413002379177e-09,0.0,0.0,9.50608087674408e-09,394531.994668672,1.71700745897551e-07,0.0,9.66768993610606e-09,1.18826011011931e-08,1066241.36924701,1.17603250647661e-08,0.0,4.75304043837204e-09,865.221898779114,0.0,2451734.91460459,2.14,1006.456,28.363333333333333,1.0266666666666666,-0.05881037,1.06725,0.04,1.056,5.197712630033493,-0.4090556251280235,31.42808303548329,430338.0,501738.0,496306.5,1428382.5,1,0,0,0,0,0,0
1993,2451734.91460459,0.0,0.0,5.344678205943781e-09,0.0,0.0,100366.256665957,712704.841944845,638576.414798764,1.07072596161112e-08,0.0,7.71666475425494e-08,615410.937758418,374484.406268351,2.40913341313303e-08,0.0,1392.63062415989,8799.42654397623,0.0,2062023.39943197,-0.94,1008.754,26.82333333333333,1.0116666666666667,-2.2754968,1.5175,0.0775,1.686,5.852703154087067,0.2459348989255501,31.46903316298528,707851.95,430338.0,501738.0,1639927.95,1,0,0,0,0,0,0
1994,2062023.39943197,0.0,8.66820090260566e-09,3138.0810583256,1365.06426922141,0.0,23838.2984895964,3.46728036109283e-08,1322636.53214485,19833.5135331824,0.0,5.06417998013343e-08,691211.909936563,1.37400706340816e-08,1.65058878646665e-08,0.0,9.53502099242914e-08,8.244042381474851e-09,0.0,2198777.94068358,-0.63,1010.356,26.8,0.5266666666666667,-1.9444107,0.15675,0.53,-0.53,5.565114378929138,-0.0416538762323783,31.59085414658731,577939.65,707851.95,430338.0,1716129.6,1,0,0,0,0,0,0
1995,2198777.94068358,0.0,6.8950979884430805e-09,6.74439707431861e-09,240.762470498148,0.0,0.0,1012274.36267232,1174114.76128111,12148.0542545946,0.0,3.29127159845605e-07,1.75824998710406e-07,4.49176845203496e-06,6.58819523887475e-09,0.0,1.72377449711077e-08,2.02331912291433e-08,0.0,2383541.73513812,1.59,1008.562,27.66333333333333,-0.2749999999999999,-1.02555351,0.6405000000000001,-0.65,0.806,5.187888652086258,-0.4188796030752586,31.3801078725217,887336.25,577939.65,707851.95,2173127.85,1,0,0,0,0,0,0
1996,2383541.73513812,0.0,0.0,35663.2823399376,3.27271570617693e-09,0.0,3.0119722311937e-08,3.10929991138278e-08,2341905.26475263,4214.61100071628,0.0,1.17132253485751e-08,8.182368186463411e-09,1.47192398921552e-08,1758.57704471812,0.0,1.47282627407655e-08,6.5418843942260604e-09,0.0,814336.197799176,0.86,1007.772,25.84,-0.7166666666666667,-0.49204,-1.16175,0.8275,0.642,5.587652027606964,-0.0191162275545524,31.49750472538507,618464.25,887336.25,577939.65,2083740.15,1,0,0,0,0,0,0
1997,814336.197799176,0.0,0.0008963857817391,10456.9493118177,824.636540821817,0.0,593413.382587727,1463.53901417289,150356.315653665,0.0038004956762627,0.0,0.0,0.0028574057230692,53630.1072266333,0.0017317564459224,0.0,2601.0512630669,1590.20691522818,0.0,1185591.30318944,0.49,1008.67,26.23333333333333,1.653333333333333,-1.3694127,0.2004999999999999,0.2725,1.94,6.3439734280109406,0.737205172849424,31.624789593824698,550068.15,618464.25,887336.25,2055868.65,1,0,0,0,0,0,0
1998,1185591.30318944,0.0,0.0,1616.27877449024,0.0,0.0,0.0,9.60279929239396e-08,957262.241291818,8.581314409772592e-09,0.0,4.46890570593246e-08,226712.783122949,1.17343086167266e-08,5.46083644190582e-09,0.0,1.57422939217745e-08,4.6937234445395815e-09,0.0,3028936.64962732,4.58,1005.478,28.87333333333333,0.1016666666666666,0.8962181933333333,-0.64725,1.2125,-1.068,6.23176634311676,0.6249980879552437,31.431184370126296,782212.5,550068.15,618464.25,1950744.9,1,0,0,0,0,0,0
1999,3028936.64962732,0.0,0.0,0.0,0.0,0.0,0.0,2028132.49256904,688616.328852843,38.8758469816484,0.0,3.53231658567199e-09,1106.66577731393,311042.286581127,3.5315508967327e-09,0.0,3.53165078611178e-09,3.53152635815374e-09,0.0,2189169.95364768,0.13,1009.446,25.21333333333333,-1.1866666666666663,1.38527183,0.1132499999999999,-1.0275,-2.122,3.3756258487701416,-2.231142406391375,31.67090238030277,556193.25,782212.5,550068.15,1888473.9,1,0,0,0,0,0,0
2000,2189169.95364768,0.0,0.0,0.0,11.8454513199873,0.0,5994.05323232873,40387.3104103675,1861831.56074104,11052.9787606826,0.0,0.0,1922.91169605244,259857.140844817,0.0,0.0,8112.1525110636,5.3689696478594e-09,0.0,1186912.55495206,0.26,1008.446,25.11,-0.675,1.5269583,0.7345,-1.515,-1.218,5.518519550561905,-0.0882487045996116,31.34106679460896,643110.0,556193.25,782212.5,1981515.75,1,0,0,0,0,0,0
2001,1186912.55495206,0.0,0.0,55.3664802300998,0.0,0.0,11639.2776076288,1871.38703178611,1167710.21614416,974.450052062853,3.10880601198955e-09,11.0732961268463,1162.69608485333,3421.64847890156,66.4397762967003,0.0,5.6201564093658e-09,6.2455768112829215e-09,0.0,941300.532766827,1.5,1007.084,25.98333333333333,-0.2383333333333333,2.660991533333333,-1.4055,0.015,-1.642,6.056779623031616,0.4500113678700996,31.62734210313256,1182180.0,643110.0,556193.25,2381483.25,1,0,0,0,0,0,0
2002,941300.532766827,0.0,10.8052530374182,0.0,0.0,0.0,7.45947383447626e-08,9903.0144088113,625825.295889401,204767.564320588,0.0,8095.76288245844,85372.1284523524,7234.11690859409,43.2210121753734,8.90122087847162e-08,37.8183861976326,10.8052530480746,0.0,4157797.34513923,-0.37,1009.196,26.52,0.3616666666666667,2.0203324,0.56625,-1.08,-0.658,6.538191825151444,0.9314235699899268,31.835213461918617,1150000.0,1182180.0,643110.0,2975290.0,1,0,0,0,0,0,0
2003,4157797.34513923,0.0,0.0,0.0,0.0,0.0,2051.16774657631,802308.796826708,2422101.56698494,41421.5238420093,1.57078014377729e-09,47.0123878646724,269435.093626898,620197.121784919,47.0123878670205,0.0,188.049551448435,2.3594427643338703e-09,0.0,7525949.13672296,2.8,1005.066,27.56,-0.0966666666666666,1.86609866,-0.25075,1.315,0.124,6.117218613624573,0.5104503584630562,31.29076632456993,680850.0,1150000.0,1182180.0,3013030.0,1,0,0,0,0,0,0
2004,7525949.13672296,0.0,0.0,13.2585138311569,0.0,0.0,39954.2128738335,5559714.5741177,1213013.13415304,84.949876028748,0.0,3.861875732248291e-09,646231.010504353,56520.4843491603,10148.8363281517,0.0,3.84443235254419e-09,3.8420735847491e-09,268.676006852196,5224715.57924587,2.83,1008.564,27.0,0.1233333333333333,0.38554044,-0.65775,-0.3775,0.16,6.222519844770432,0.615751589608915,31.535762359846885,767000.0,680850.0,1150000.0,2597850.0,1,0,0,0,0,0,0
2005,5224715.57924587,0.0,0.0,306.956264898706,287.751700399058,0.0,14.6758327494927,127914.746489427,4007257.57007096,277.284352231964,0.0,17.8963723393896,34671.4739623912,1053967.22420046,2.71998251376219e-09,0.0,2.71994727346446e-09,2.7199433876998304e-09,0.0,3342878.91777659,0.9,1008.15,27.293333333333333,0.0866666666666666,-1.5064687166666668,-0.25825,-0.025,0.182,6.863881886005402,1.257113630843885,31.446986433285385,3676146.0,767000.0,680850.0,5123996.0,1,0,0,0,0,0,0
