Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sss_mayaug,River_Alagnak,River_Egegik,River_Igushik,River_Kvichak,River_Naknek,River_Nushagak,River_Ugashik,River_Wood
1963,378138.280997038,0.0,0.0,0.0,0.0,0.0,0.0,331299.990064692,13119.730112112,0.0,0.0,5.94688772462506e-10,20219.1620337071,13499.3987865245,0.0,0.0,8.98101120497911e-10,8.97383959825892e-10,0.0,759383.050311972,2.32,1007.466,26.00333333333333,-0.2092234233333333,-1.25475,-0.06,-0.58,31.64945122733045,1,0,0,0,0,0,0,0
1964,759383.050311972,0.0,0.0001397443425372,0.0,0.0,0.0,4468.51853051731,121361.342761154,338122.232404937,0.0,0.0,8.07157218338651e-06,286853.65940287,8577.2970628815,0.0,0.0,2.31742454758138e-07,1.56490725357031e-06,0.0,397860.608256364,0.74,1009.076,27.33,0.6354695033333334,-0.4815,0.0725,-1.456,31.80659727552044,1,0,0,0,0,0,0,0
1965,397860.608256364,0.0,0.0,727.073816454792,0.0,0.0,11965.3139715437,50293.2450260829,116448.344108643,6.472749308848111e-09,0.0,6.472763733368961e-09,166914.93864006,50738.8937718332,0.0,0.0,772.798921727466,6.472748217699021e-09,0.0,394077.159015449,-1.62,1009.884,25.78,-0.7087546033333333,-1.07025,-0.5875,-0.202,31.792252405365904,1,0,0,0,0,0,0,0
1966,394077.159015449,0.0,0.0,1.83263578030635e-09,0.0,0.0,0.0,110266.243567286,232930.743783171,1.83384461668993e-09,0.0,0.0,6138.95631741,43428.8941591372,1.83384461668993e-09,0.0,1.8339313175012102e-09,1312.32118843721,0.0,344305.585577397,-1.88,1011.274,27.813333333333333,-0.8769983533333334,-1.3545,-0.4625,-0.258,31.76825843640228,1,0,0,0,0,0,0,0
1967,344305.585577397,0.0,0.0,1.07349935010011e-09,0.0,0.0,6377.29762212629,231001.909353708,104885.029508684,1.07023568731815e-09,0.0,415.023382200934,1626.32571067297,1.07349935010011e-09,0.0,0.0,1.0750117076603e-09,1.07349935010011e-09,0.0,314033.557374858,-0.17,1010.958,26.07333333333333,-0.6303692166666667,0.2925,-0.375,-1.22,31.952062863022533,1,0,0,0,0,0,0,0
1968,314033.557374858,0.0,0.0,8.089737832152901e-10,0.0,0.0,8480.04184744772,97650.4215483889,151684.161192015,8.08803322833379e-10,0.0,1880.28152504957,30953.023329648,22573.0166335278,8.08803322833379e-10,0.0,812.611298777955,8.089737832152901e-10,0.0,324288.955169264,-0.4,1009.018,25.863333333333333,-0.5417895966666667,-0.2922499999999999,-0.36,0.0079999999999999,31.57690820409291,1,0,0,0,0,0,0,0
1969,324288.955169264,0.0,2.1568794832249603e-09,0.0,0.0,0.0,9662.46648980595,110322.958582639,90731.091836029,2.15710687255908e-09,0.0,509.92968359188,112243.297590412,819.210986777643,0.0,0.0,2.1568794832249603e-09,2.15680963519131e-09,0.0,500779.511421109,-2.72,1010.83,27.53,-1.3884037466666663,-2.1115,-0.8574999999999999,-0.516,31.719780758245665,1,0,0,0,0,0,0,0
1970,500779.511421109,0.0,0.0,4.553159291704951e-09,0.0,0.0,5829.7840867585,304544.093668233,88347.8488845848,0.0,0.0,0.0,29040.2718764478,73017.5129050708,0.0,0.0,4.5545952019129405e-09,4.553159291704951e-09,0.0,537293.524453276,3.69,1005.734,26.96333333333333,0.2047551033333333,-1.91925,1.1,-1.08,31.6310978718658,1,0,0,0,0,0,0,0
1971,537293.524453276,0.0,410.639439228765,461.169500360227,1.65856275304339e-09,0.0,8143.46251247989,260360.126735236,229247.6170294,5497.06030308381,0.0,2325.1893646584,13317.4626320725,17530.7969367517,0.0,0.0,1.65841552878805e-09,1.65843912761874e-09,0.0,302589.30717202,-2.25,1011.482,25.21333333333333,-0.0711822576666666,-0.64375,-1.3125,-1.27,31.681839409159192,1,0,0,0,0,0,0,0
1972,302589.30717202,0.0,0.0,6.491050910375151e-10,1.2957224256456202e-09,0.0,7.0852196840766e-09,182414.447683053,52163.0660470705,9.71791819301795e-10,0.0,0.0,59199.567021546,8812.22642033874,9.71791819301795e-10,0.0,6.49787373867388e-10,6.491050910375151e-10,0.0,63552.9693707139,-4.51,1011.836,25.88,-0.322304651,0.1634999999999999,-1.8425,-1.158,31.62954716895944,1,0,0,0,0,0,0,0
