ReturnYear	TotalAge	ReturnCount	Total_Recruits
1985	2	1461	47821.0
1985	3	151004	47821.0
1985	4	13875	47821.0
1985	5	0	47821.0
1985	6	0	47821.0
1986	2	24062	43800.0
1986	3	22438	43800.0
1986	4	11465	43800.0
1986	5	158	43800.0
1986	6	0	43800.0
1987	2	22999	87441.0
1987	3	78578	87441.0
1987	4	15416	87441.0
1987	5	0	87441.0
1987	6	0	87441.0
1988	2	547	76799.0
1988	3	60523	76799.0
1988	4	18643	76799.0
1988	5	0	76799.0
1988	6	0	76799.0
1989	2	298	80861.0
1989	3	34516	80861.0
1989	4	6861	80861.0
1989	5	210	80861.0
1989	6	0	80861.0
1990	2	7260	2607.0
1990	3	29482	2607.0
1990	4	12682	2607.0
1990	5	157	2607.0
1990	6	0	2607.0
1991	2	4072	9610.0
1991	3	58313	9610.0
1991	4	14020	9610.0
1991	5	76	9610.0
1991	6	0	9610.0
1992	2	5170	33691.0
1992	3	58938	33691.0
1992	4	20884	33691.0
1992	5	0	33691.0
1992	6	0	33691.0
1993	2	0	50984.0
1993	3	65510	50984.0
1993	4	13683	50984.0
1993	5	984	50984.0
1993	6	0	50984.0
1994	2	440	3319.0
1994	3	2045	3319.0
1994	4	10086	3319.0
1994	5	106	3319.0
1994	6	0	3319.0
1995	2	2451	18830.0
1995	3	5624	18830.0
1995	4	562	18830.0
1995	5	95	18830.0
1995	6	0	18830.0
1996	2	534	113163.0
1996	3	26494	113163.0
1996	4	3205	113163.0
1996	5	0	113163.0
1996	6	0	113163.0
1997	2	315	124912.0
1997	3	41677	124912.0
1997	4	4676	124912.0
1997	5	341	124912.0
1997	6	0	124912.0
1998	2	2939	32802.0
1998	3	1567	32802.0
1998	4	8643	32802.0
1998	5	70	32802.0
1998	6	0	32802.0
1999	2	1558	16813.0
1999	3	14869	16813.0
1999	4	1319	16813.0
1999	5	130	16813.0
1999	6	0	16813.0
2000	2	3825	136515.0
2000	3	88433	136515.0
2000	4	1022	136515.0
2000	5	118	136515.0
2000	6	0	136515.0
2001	2	1171	80051.0
2001	3	92559	80051.0
2001	4	21204	80051.0
2001	5	0	80051.0
2001	6	0	80051.0
2002	2	458	30479.0
2002	3	19649	30479.0
2002	4	27379	30479.0
2002	5	1933	30479.0
2002	6	0	30479.0
2003	2	9713	16645.0
2003	3	14732	16645.0
2003	4	11747	16645.0
2003	5	1149	16645.0
2003	6	35	16645.0
2004	2	1218	217244.0
2004	3	120481	217244.0
2004	4	1356	217244.0
2004	5	235	217244.0
2004	6	0	217244.0
2005	2	804	179140.0
2005	3	65534	179140.0
2005	4	6217	179140.0
2005	5	267	179140.0
2005	6	0	179140.0
2006	2	201	405877.0
2006	3	24072	405877.0
2006	4	12689	405877.0
2006	5	104	405877.0
2006	6	0	405877.0
2007	2	9734	142250.0
2007	3	8708	142250.0
2007	4	5325	142250.0
2007	5	610	142250.0
2007	6	0	142250.0
2008	2	15260	565794.0
2008	3	190460	565794.0
2008	4	7610	565794.0
2008	5	278	565794.0
2008	6	0	565794.0
2009	2	18137	132065.0
2009	3	142510	132065.0
2009	4	17050	132065.0
2009	5	126	132065.0
2009	6	0	132065.0
2010	2	6178	580958.0
2010	3	359160	580958.0
2010	4	21186	580958.0
2010	5	0	580958.0
2010	6	0	580958.0
2011	2	32729	605785.0
2011	3	124589	605785.0
2011	4	28294	605785.0
2011	5	184	605785.0
2011	6	0	605785.0
2012	2	6637	334999.0
2012	3	497091	334999.0
2012	4	11483	334999.0
2012	5	286	334999.0
2012	6	0	334999.0
2013	2	32198	51655.0
2013	3	117334	51655.0
2013	4	35974	51655.0
2013	5	0	51655.0
2013	6	0	51655.0
2014	2	87497	202564.0
2014	3	518585	202564.0
2014	4	8094	202564.0
2014	5	0	202564.0
2014	6	0	202564.0
2015	2	692	26941.0
2015	3	479839	26941.0
2015	4	30175	26941.0
2015	5	0	26941.0
2015	6	0	26941.0
2016	2	2471	
2016	3	301578	
2016	4	38449	
2016	5	0	
2016	6	0	
2017	2	11400	
2017	3	43643	
2017	4	32651	
2017	5	0	
2017	6	0	
2018	2	696	
2018	3	187464	
2018	4	5500	
2018	5	78	
2018	6	0	
2019	2	34333	
2019	3	24972	
2019	4	3700	
2019	5	41	
2019	6	0	
2020	2	2943	
2020	3	337524	
2020	4	1273	
2020	5	0	
2020	6	0	
2021	2	41393	
2021	3	88540	
2021	4	21832	
2021	5	0	
2021	6	0	
2022	2	13084	
2022	3	633153	
2022	4	17017	
2022	5	0	
2022	6	0	
2023	2	30066	
2023	3	249810	
2023	4	47672	
2023	5	0	
2023	6	0	
2024	2	11687	
2024	3	715817	
2024	4	28205	
2024	5	200	
2024	6	0	
