Model,River_Name,R2_Test,MSE_Test,MAPE_Test,R2_Train,MSE_Train,MAPE_Train,System,Selected_System,TopK_Features,Additional_Features_Used,ARIMA_Enabled,Num_Features_Used,Feature_Names
RF,Chilko,-1.4940345810259208,1539126286047.3123,138.13381869186284,0.8558813920382409,190898572712.54556,30.71129822766065,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Late Stuart,-0.6072866181486707,31715710084.36678,169.672500742169,0.9628700136207079,34565949046.315956,66.47589453432946,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Quesnel,0.838454378009001,112379606845.72388,589.8819765478156,0.9606998289492545,281652925604.2628,60.12269369483639,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Raft,-1.910005256797512,475463157.2446702,334.12287821051945,0.3225548390117575,518110025.1056527,55.25944335196248,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
RF,Stellako,0.5758077296520667,58246259460.363075,115.6187649673058,0.8610008000142645,14491083020.103634,28.155996652439192,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Chilko,-1.5780845716640126,1590995474597.1775,109.64616476771415,0.8051020901418624,258160506424.3275,46.37019546655093,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Late Stuart,-0.21994612110972467,24072531344.925903,201.95343758976446,0.9211892441984901,73368423610.73267,285.6387129103025,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Quesnel,0.7402011521709628,180729703585.69046,1161.4833256359577,0.9721689888220031,199456783806.01108,1921.7460615731916,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Raft,-39.07154303219409,6547253590.435148,932.5574763397352,-3.5930287643097785,3512748168.3035088,576.7447201470272,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
GBRT,Stellako,0.7549379309176568,33649714663.48437,91.81223735955489,0.5315192854832879,48840517989.13829,54.5986332963449,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Chilko,-2.604713010431459,2224551572067.4507,110.80199072331925,0.8695844225423115,172747627445.59122,38.09150716015661,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Late Stuart,-0.18753298001133123,23432940512.530117,161.3921140354058,0.9407217190145432,55184777585.57064,219.9269606157107,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Quesnel,0.7410102681613986,180166840069.01263,887.5459921315124,0.9810585394467853,135747953186.82074,1026.5318313525747,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Raft,-16.045371253391597,2785027969.834023,497.0290778419802,-1.3421599149731982,1791283785.35909,328.0179208556708,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
XGB,Stellako,0.7426613804515368,35335419929.026695,95.03771233712774,0.5423832902515273,47707912945.05519,54.5708468588893,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Chilko,-0.1242039550372982,693772199968.6553,95.18930000928097,-0.05818890907949403,1401670160851.9717,71.48173076627732,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Late Stuart,0.5225013265206804,9422220855.159891,175.54903092773026,0.6802453094959637,297673805381.3896,98.89227077259575,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
LR,Quesnel,0.6117204675437775,270107605925.11154,1107.689159931815,0.7754498960416992,1609285456873.277,94.25953378443687,Fraser River,Fraser River,6,True,True,6,"AgeClass_0.2, AgeClass_1.1, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4"
