Model,River_Name,R2_Test,MSE_Test,MAPE_Test,R2_Train,MSE_Train,MAPE_Train,System,TopK_Features,Additional_Features_Used,ARIMA_Enabled,Feature_Names,Selection_Rule
LR - Linear Regression,Alagnak,0.1478,1717085764603.4353,37.6878,0.1685,3104696173809.085,47.9007,Bristol Bay,20,False,False,"Total_Returns, AgeClass_1.1, AgeClass_1.2, AgeClass_1.3, AgeClass_1.5, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, AgeClass_3.3, oni_mean_DecFeb, npgo_mean_DecFeb, sst_aprjul, sst_anom, River_Alagnak, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak, River_Wood",Rule 1: Stable R²
LR - Linear Regression,Egegik,-0.6193,38758152923998.07,43.5064,-0.1701,9016990103955.814,31.7523,Bristol Bay,6,True,True,"Total_Returns, AgeClass_1.2, Total_Returns_Yminus3, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
PR - Polynomial Regression,Igushik,0.2276,284890047023.933,20.135,0.6705,92041905444.2166,43.7991,Bristol Bay,10,False,False,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak",Rule 1: Stable R²
PR - Polynomial Regression,Kvichak,0.3954,2508260095657.1304,11.1068,0.8385,4611868102902.281,43.8423,Bristol Bay,10,False,True,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak",Rule 1: Stable R²
LR - Linear Regression,Naknek,0.5851,1934301607106.552,23.2941,0.151,2951255631326.482,29.8312,Bristol Bay,20,True,False,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, Total_Returns_Yminus1, Total_Returns_Yminus2, Total_Returns_Yminus3, Total_Returns_Yminus4, AgeClass_1.2_Yminus1, AgeClass_1.2_Yminus3, AgeClass_2.1_Yminus5, AgeClass_2.3_Yminus1, AgeClass_2.3_Yminus2, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus3, Total_Returns_NextYear_Yminus4, Total_Returns_NextYear_Yminus5, River_Igushik",Rule 1: Stable R²
GBRT - Gradient Boosting,Nushagak,0.4047,16212836034260.133,24.3497,0.8739,583694215970.5204,30.825,Bristol Bay,20,True,False,"Total_Returns, AgeClass_1.2, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, Total_Returns_Yminus1, Total_Returns_Yminus2, Total_Returns_Yminus3, Total_Returns_Yminus4, AgeClass_1.2_Yminus1, AgeClass_1.2_Yminus3, AgeClass_2.1_Yminus5, AgeClass_2.3_Yminus1, AgeClass_2.3_Yminus2, Total_Returns_NextYear_Yminus1, Total_Returns_NextYear_Yminus2, Total_Returns_NextYear_Yminus3, Total_Returns_NextYear_Yminus4, Total_Returns_NextYear_Yminus5, River_Igushik",Rule 1: Stable R²
LR - Linear Regression,Ugashik,-0.146,7080266136864.841,31.8997,0.2298,2235473431933.7583,40.9842,Bristol Bay,20,False,False,"Total_Returns, AgeClass_1.1, AgeClass_1.2, AgeClass_1.3, AgeClass_1.5, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, AgeClass_3.2, AgeClass_3.3, oni_mean_DecFeb, npgo_mean_DecFeb, sst_aprjul, sst_anom, River_Alagnak, River_Egegik, River_Igushik, River_Kvichak, River_Nushagak, River_Wood",Rule 1: Stable R²
LR - Linear Regression,Bonneville Lock & Dam,0.701,17476864478.6568,38.6651,0.9609,1076359751.9736,49.4677,Columbia River,20,False,False,"Total_Returns, AgeClass_1.1, AgeClass_1.2, AgeClass_1.3, AgeClass_2.1, AgeClass_2.2, AgeClass_2.3, Pacea_ALPI_Anomaly, npi_mean_NovMar, oni_mean_DecFeb, mei_mean_AprSep, npgo_mean_DecFeb, pdo_mean_DecMar, pdo_mean_MaySep, sst_aprjul, sst_anom, total_spawners_y_minus_2, total_spawners_y_minus_3, total_spawners_y_minus_4, total_spawners_y_minus_2_to_4",Rule 1: Stable R²
LR - Linear Regression,Chilko,0.3463,403437175391.8436,67.0145,-0.0792,1429460308208.9668,76.8576,Fraser River,10,True,True,"AgeClass_0.2, AgeClass_1.1, total_spawners_y_minus_3, Total_Returns_Yminus3, AgeClass_0.2_Yminus4, AgeClass_0.3_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, AgeClass_1.3_Yminus2, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
PR - Polynomial Regression,Late Stuart,0.3583,12661716912.1229,122.6331,0.7045,275133746243.8569,145.1486,Fraser River,6,True,True,"AgeClass_0.2, total_spawners_y_minus_3, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
GBRT - Gradient Boosting,Quesnel,0.7209,181367348461.2334,195.9894,0.9975,16980039987.739,410.0257,Fraser River,6,False,False,"Total_Returns, AgeClass_0.2, AgeClass_1.1, total_spawners_y_minus_3, River_Chilko, River_Raft",Rule 1: Stable R²
PR - Polynomial Regression,Raft,-2.159,487996309.3364,272.1355,-2.5252,2606368474.3755,202.3146,Fraser River,10,False,True,"Total_Returns, AgeClass_0.2, AgeClass_1.1, AgeClass_1.2, AgeClass_2.3, pdo_mean_MaySep, total_spawners_y_minus_3, River_Chilko, River_Quesnel, River_Raft",Rule 1: Stable R²
LR - Linear Regression,Stellako,-0.5137,207841610366.4105,79.5679,-0.3539,141153263031.5503,63.2056,Fraser River,6,True,False,"AgeClass_0.2, total_spawners_y_minus_3, Total_Returns_Yminus3, AgeClass_1.1_Yminus4, AgeClass_1.2_Yminus3, Total_Returns_NextYear_Yminus4",Rule 1: Stable R²
